Line,Station_Number,Station_Name,Station_Form,PAO,Elevator_and_Wheelchair_Ramps,Ticket_Gates_for_the_Disabled,Toilet_Facilities_for_Disabled,Reserved_Spaces_for_Wheelchairs,Doors_Open_Side,Elevator,Anti_slip_Strips,Train_Destination_Announcements,Public_Address_System,Priority_Seats_for_Visually_Impaired_Passengers,Tactile_Guide_Paths_quantity,Passenger_Information_Display_Systems_count,door_indicator_light_count,Train_Passenger_Information_Systems_quantity,1999_Sign_Language_Service_quantity
中和新蘆線/環狀線,O02/Y11,景安站,【中和新蘆線】地下。【環狀線】高架。,【中和新蘆線】大廳層(1樓)，近出口。【環狀線】付費區(5樓)，近出口。,單一出口,【中和新蘆線】主詢問處旁,【中和新蘆線】付費區(1樓)，近出口。【環狀線】付費區(3樓)，近大廳電梯。,【中和新蘆線】第1節、第6節車廂。【環狀線】第1節、第4節車廂。,【中和新蘆線】往蘆洲、迴龍-左側開門，往南勢角-右側開門。【環狀線】右側開門。,有,有,有,有,無,【中和新蘆線】/【環狀線】出口--大廳無障礙閘門--月臺電梯--月臺,1,1,1,0
中和新蘆線,O01,南勢角站,地下,大廳層(B3)，近出口3、4,出口3與出口4中間,主詢問處旁,付費區(B3)，近出口3、4,第1節、第6節車廂,左側開門。右側開門。,有,有,有,有,無,出口電梯--大廳無障礙閘門-月臺電梯-月臺,1,1,1,0
淡水信義線,R09,台大醫院站,地下,大廳層(B1)，近出口3、4,出口1、出口2、出口3,主詢問處、簡易詢問處旁,非付費區(B1)，近出口1,第1節、第6節車廂,左側開門。,有,有,有,有,無,出口電梯--大廳無障礙閘門--月臺電梯--月臺,1,1,1,0
淡水信義線/板南線,BL12/R10,台北車站,【淡水信義線】/【板南線】地下,【淡水信義線】大廳層(B3)，近台鐵/高鐵轉乘區。【板南線】大廳層(B2)，近出口M4、M5、M6；大廳層(B2)，近出口M3、M7、M8。,【淡水信義線】出口M2。【板南線】出口M4。,主詢問處旁,【淡水信義線】非付費區(B1)，近出口M1、M2；非付費區(B3)，近詢問處；付費區(B3)，往板南線樓梯。【板南線】非付費區(B1)，近出口M5；付費區(B2)，近往淡水信義線樓梯。,第1節、第6節車廂,【淡水信義線】左側開門。【板南線】左側開門。,有,有,有,有,【淡水信義線】一月臺前端。【板南線】無。,【淡水信義線】/【板南線】出口電梯--大廳無障礙閘門--月臺電梯--月臺,1,1,1,1
淡水信義線/松山新店線,R11/G14,中山站,【淡水信義線】/【松山新店線】地下,【淡水信義線】大廳層(B1)，近出口1、4。【松山新店線】大廳層(B1)，近出口5、6。,【淡水信義線】出口4。【松山新店線】出口5、出口6。,主詢問處旁,【淡水信義線】非付費區(B1)，近出口1(中山藝文廊內)。【松山新店線】非付費區(B1)，近出口6。,第1節、第6節車廂,【淡水信義線】左側開門。【松山新店線】左側開門。,有,有,有,有,【淡水信義線】一、二月臺前端。【松山新店線】無。,【淡水信義線】出口電梯--大廳無障礙閘門--月臺電梯--月臺。【松山新店線】0。,1,1,1,0
淡水信義線,R12,雙連站,地下,大廳層(B1)，近出口1、2,出口2,主詢問處旁,非付費區(B1)，近出口1，往中山地下街,第1節、第6節車廂,左側開門。,有,有,有,有,一、二月臺前端,出口電梯--大廳無障礙閘門--月臺電梯--月臺,1,1,1,0
淡水信義線/中和新蘆線,R13/O11,民權西路站,【淡水信義線】/【中和新蘆線】地下,【淡水信義線】大廳層(1樓)，近出口1。【中和新蘆線】大廳層(B2)，近出口7、8、9、10。,【淡水信義線】出口1。【中和新蘆線】出口10。,主詢問處旁,【淡水信義線】付費區，近出口1。【中和新蘆線】非付費區(B2)，近出口5；付費區(B2)，近出口7、8。,第1節、第6節車廂,【淡水信義線】左側開門。【中和新蘆線】左側開門。,有,有,有,有,【淡水信義線】一、二月臺前端。【中和新蘆線】三、四月臺前端。,【淡水信義線】出口--大廳無障礙閘門--月臺電梯--月臺。【中和新蘆線】0。,1,1,1,0
淡水信義線,R14,圓山站,高架,大廳層(1樓)，近出口1,出口1、出口2,主詢問處旁、簡易詢問處旁, 付費區(1樓)，近出口1,第1節、第6節車廂,左側開門。,有,有,有,有,無,出口--大廳無障礙閘門--月臺電梯--月臺,1,1,1,1
淡水信義線,R15,劍潭站,高架,大廳層(1樓)，近出口1、出口2,出口2、出口3,主詢問處旁、簡易詢問處旁, 付費區(1樓)，近出口1、出口2,第1節、第6節車廂,左側開門。,有,有,有,有,無,出口--大廳無障礙閘門--月臺電梯--月臺(註：出口3無導盲磚設施),1,1,1,0
淡水信義線,R16,士林站,高架,大廳層(1樓)，近出口1、出口2,出口1、出口2,主詢問處旁、簡易詢問處旁, 付費區(1樓)，近出口1、出口2,第1節、第6節車廂,左側開門。,有,有,有,有,無,出口--大廳無障礙閘門--月臺電梯--月臺,1,1,1,0
