項次,出入口電梯/無障礙坡道名稱,出入口編號,經度,緯度
38,台大醫院站出口電梯3,出口1,121.515821,25.04134
39,台大醫院站出口電梯1,出口2,121.516669,25.041416
40,台大醫院站出口電梯2,出口3,121.516529,25.042997
41,台北車站出口電梯1,M2,121.5186428,25.0482356
42,台北車站出口電梯2,M4,121.5172729,25.0463906
43,中山站出口電梯1,出口4,121.520397,25.053263
44,中山站出口電梯2,出口5,121.5194307,25.0529936
45,中山站出口電梯3,出口6,121.5189288,25.0527938
46,雙連站出口電梯,出口2,121.5207916,25.0583407
47,民權西路站無障礙坡道,出口1,121.5194143,25.062607
48,民權西路站出口電梯,出口10,121.520284,25.063046
49,圓山站出口無障礙坡道1,出口1,121.5201311,25.0708481
50,圓山站出口無障礙坡道2,出口2,121.5201211,250717908
51,劍潭站出口無障礙坡道1,出口2,121.5246738,25.0831111
52,劍潭站出口無障礙坡道2,出口3,121.5248293,25.0844966
53,劍潭站出口無障礙坡道3,出口1,121.525232,25.0853554
54,士林站出口無障礙坡道1,出口1,121.5260095,25.0943692
55,士林站出口,出口2,121.5265121,25.0928411
56,芝山站出口無障礙坡道1,出口1,121.5227124,25.1022269
57,芝山站出口無障礙坡道2,出口2,121.5225176,25.1033976
58,明德站出口無障礙坡道1,出口1,121.5190445,25.1096709
59,明德站出口無障礙坡道2,出口2,121.5186723,25.1101898
60,明德站出口無障礙坡道3,出口3,121.5184571,25.1099766
61,石牌站出口無障礙坡道1,出口1,121.5152921,25.1149572
62,石牌站出口無障礙坡道2,出口2,121.5164183,25.1134105
63,唭哩岸站出口無障礙坡道1,出口1,121.506658,25.12122
64,唭哩岸站出口無障礙坡道2,出口2,121.505855,25.120589
65,奇岩站出口無障礙坡道,單一出口,121.501278,25.125424
66,北投站出口無障礙坡道1,出口1,121.4980606,25.1320345
67,北投站出口無障礙坡道2,出口2,121.499581,25.130682
68,新北投站出口無障礙坡道,出口1,121.5034816,25.1370048
69,復興崗站出口無障礙坡道,出口1,121.485578,25.137716
70,復興崗站出口二北投會館電梯,出口2,121.485457,25.136726
71,忠義站出口無障礙坡道1,出口1,121.473407,25.131207
72,忠義站出口無障礙坡道2,出口2,121.473562,25.130769
